arrival_s,class_name,input_tokens,cached_input_tokens,output_tokens,thinking_tokens,max_output_tokens,observed_latency_s
0.0,chat,824,0,190,0,512,
0.06592172991419609,reasoning,2797,0,254,536,1024,
0.16531241042381817,chat,1240,0,357,0,512,
1.2837398921903729,reasoning,1098,0,608,311,1024,
3.8641723784593944,chat,1303,0,160,0,512,
5.686701984454345,reasoning,972,0,308,273,1024,
5.779490599405175,rag,2095,1015,149,0,768,
5.915349111575363,chat,916,419,335,0,512,
6.785469041798304,chat,1013,0,222,0,512,
7.7635870221454475,chat,521,0,242,0,512,
9.187709047722572,rag,2696,1463,114,0,768,
11.895730306115324,reasoning,2124,0,418,228,1024,
11.973084457033009,chat,622,267,189,0,512,
12.147470653087968,rag,2226,0,526,0,768,
13.752957876612792,rag,5280,3139,385,0,768,
16.131276289725605,reasoning,2882,0,593,371,1024,
16.325783896586643,rag,1500,0,246,0,768,
16.89439531585952,reasoning,7145,0,398,262,1024,
17.141599615852975,reasoning,732,0,674,284,1024,
18.294065982700133,reasoning,866,0,558,128,1024,
20.20125096745958,chat,864,0,216,0,512,
20.969006410397128,chat,921,0,474,0,512,
21.505909954321915,chat,782,0,149,0,512,
24.914396324121917,reasoning,1517,142,592,676,1024,
25.3585194219742,reasoning,1368,0,478,725,1024,
26.519066229833527,chat,1339,0,192,0,512,
27.27455902646303,chat,664,279,58,0,512,
30.567091841030155,rag,1795,665,291,0,768,
30.618145256127583,rag,2086,0,241,0,768,
31.69368842841432,rag,2130,0,266,0,768,
32.155237825793144,reasoning,1335,0,438,461,1024,
32.68140398906601,rag,5656,0,91,0,768,
33.486112643473746,rag,3258,0,178,0,768,
34.401971231198885,rag,2003,543,205,0,768,
35.79677849085503,rag,1979,0,373,0,768,
36.330833033666316,chat,360,0,137,0,512,
36.337389248089025,rag,1231,0,316,0,768,
37.210173433984224,rag,2145,0,262,0,768,
37.556049988078996,reasoning,2103,0,216,159,1024,
37.7654263890188,reasoning,1453,0,370,186,1024,
39.948147401773056,reasoning,2851,0,197,505,1024,
40.76721660098742,chat,469,0,252,0,512,
41.73525874406448,rag,3328,1814,366,0,768,
43.35073892945547,chat,592,0,256,0,512,
43.36671387153274,chat,769,0,203,0,512,
43.43962835797894,rag,1600,0,293,0,768,
43.82135608664753,chat,403,0,284,0,512,
44.759905160197576,reasoning,1255,135,305,786,1024,
46.187523734836496,chat,687,0,512,0,512,
47.65229109837746,rag,1306,0,108,0,768,
49.94415158785706,chat,502,0,267,0,512,
51.30063639568492,chat,911,0,241,0,512,
51.346652778343135,rag,3665,1123,221,0,768,
52.58448884223618,chat,1387,679,257,0,512,
53.03589377115674,chat,461,0,228,0,512,
53.47020282144535,rag,3717,0,197,0,768,
53.695311712456196,chat,1184,0,356,0,512,
54.32474675292702,rag,1214,0,319,0,768,
54.97743658433783,chat,529,166,219,0,512,
55.43984511367035,reasoning,2250,0,479,892,1024,
57.049732155660706,chat,350,0,249,0,512,
58.32690519400288,chat,1159,0,147,0,512,
58.78000434546748,chat,745,170,325,0,512,
59.49348403975213,chat,1437,391,213,0,512,
59.938626962358846,rag,1459,0,266,0,768,
61.708360619416815,chat,921,0,237,0,512,
62.400409912148504,rag,4740,0,474,0,768,
62.637665952612785,chat,573,0,87,0,512,
62.6681164363037,chat,315,0,107,0,512,
63.764303822601,chat,803,0,353,0,512,
65.55201526105792,chat,1806,0,90,0,512,
66.2263405152698,chat,1028,0,232,0,512,
66.40369123695295,reasoning,1620,0,193,330,1024,
67.48149455970622,chat,1023,0,143,0,512,
67.59062106606787,chat,661,0,206,0,512,
69.24969875613428,rag,1548,0,136,0,768,
71.00599472555231,chat,1239,0,135,0,512,
71.27709344315127,chat,973,482,214,0,512,
71.56564883805852,rag,3312,1186,467,0,768,
71.65538954886661,rag,1306,0,194,0,768,
71.7935423434905,rag,1933,862,641,0,768,
71.88895766910086,chat,477,0,161,0,512,
72.95516629412242,chat,851,0,189,0,512,
73.76829450869272,reasoning,1732,0,692,145,1024,
75.51358724073327,chat,358,0,498,0,512,
76.25790148947368,chat,301,0,172,0,512,
78.29840997383765,chat,960,462,292,0,512,
79.88543630000726,chat,1227,508,512,0,512,
79.91490650684113,rag,9802,0,395,0,768,
81.3549692830298,chat,701,0,360,0,512,
82.15468852093443,chat,673,0,97,0,512,
82.57452085451045,reasoning,2421,0,610,617,1024,
86.7490368616237,chat,819,0,126,0,512,
87.18297478287369,reasoning,1172,0,188,195,1024,
87.58937562143855,chat,1177,0,356,0,512,
88.93374678169717,reasoning,1279,0,617,619,1024,
89.25923936849293,rag,971,0,295,0,768,
89.47275042108824,chat,1048,0,66,0,512,
91.22441720366514,chat,812,268,91,0,512,
91.63444248898695,chat,954,0,355,0,512,
91.9476020069133,rag,1297,629,256,0,768,
92.18804171918092,chat,432,0,63,0,512,
92.42908839138175,chat,1013,0,258,0,512,
93.45400775879475,chat,891,0,147,0,512,
94.12786525933873,chat,1136,0,165,0,512,
94.63498105116574,chat,392,0,206,0,512,
95.95065159427575,chat,720,0,352,0,512,
